time,speed,acceleration,force,power,distance
3,4.550000191,-6.71999979,5.489999771,24.96999931,11.65999985
3.019999981,4.420000076,-6.75,5.679999828,25.12000084,11.73999977
3.039999962,4.289999962,-6.550000191,5.78000021,24.79999924,11.81999969
3.059999943,4.170000076,-5.980000019,5.880000114,24.52000046,11.89999962
3.079999924,4.079999924,-4.550000191,5.880000114,23.98999977,11.97999954
3.099999905,4.019999981,-2.579999924,5.78000021,23.23999977,12.06000042
3.119999886,4.019999981,-0.219999999,5.679999828,22.85000038,12.14000034
3.140000105,4.039999962,0.920000017,5.389999866,21.78000069,12.22999954
3.160000086,4.090000153,2.380000114,4.900000095,20.04000092,12.31000042
3.180000067,4.150000095,3.390000105,4.309999943,17.88999939,12.39999962
3.200000048,4.230000019,3.650000095,3.529999971,14.92000008,12.47999954
3.220000029,4.28000021,2.619999886,2.839999914,12.15999985,12.56999969
3.24000001,4.320000172,1.850000024,2.160000086,9.31000042,12.65999985
3.25999999,4.340000153,0.930000007,1.669999957,7.230000019,12.73999977
3.279999971,4.320000172,-0.860000014,1.370000005,5.929999828,12.82999992
3.299999952,4.260000229,-2.940000057,1.370000005,5.840000153,12.90999985
3.319999933,4.170000076,-4.389999866,1.570000052,6.539999962,12.98999977
3.339999914,4.059999943,-5.369999886,1.960000038,7.960000038,13.06999969
3.359999895,3.940000057,-6.409999847,2.650000095,10.43000031,13.14000034
3.380000114,3.789999962,-7.170000076,3.329999924,12.63000011,13.21000004
3.400000095,3.660000086,-6.760000229,3.920000076,14.35000038,13.27999973
3.420000076,3.529999971,-6.579999924,4.610000134,16.26000023,13.35000038
3.440000057,3.400000095,-6.059999943,5.190000057,17.65999985,13.40999985
3.460000038,3.279999971,-5.989999771,5.489999771,18,13.47000027
3.480000019,3.170000076,-5.699999809,5.679999828,18.02000046,13.52999973
3.5,3.039999962,-6.230000019,5.880000114,17.87999916,13.59000015
3.519999981,2.910000086,-6.550000191,5.78000021,16.82999992,13.64000034
3.539999962,2.779999971,-6.78000021,5.679999828,15.80000019,13.68999958
3.559999943,2.640000105,-7.119999886,5.679999828,15.01000023,13.73999977
