setId,rep_number,time,position,speed,acceleration,force
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.874982476,-114.5186844,5.596679688,-13.26973152,61.65369415
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.879982412,-114.5463333,5.52936697,-13.46248341,63.83728409
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.884982288,-114.5736542,5.464154243,-13.04258347,64.76015472
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.889982224,-114.6006699,5.403882504,-12.05436707,64.33872986
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.8949821,-114.6274261,5.350960255,-10.58444118,62.59755707
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.899981976,-114.6539612,5.307199001,-8.752187729,59.67241287
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.904981911,-114.6803284,5.273730278,-6.693726063,55.79340363
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.909981787,-114.7065887,5.250973701,-4.55140686,51.26204681
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.914981723,-114.7327805,5.238650322,-2.46463418,46.42025375
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.919981599,-114.7589569,5.235858917,-0.558261275,41.60905457
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.924981475,-114.7851639,5.241190434,1.066286087,37.14139938
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.929981411,-114.8114319,5.252920628,2.346019506,33.26247406
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.934981287,-114.8377762,5.269225121,3.26096344,30.12359428
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.939981222,-114.8642197,5.288374424,3.829820395,27.77872276
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.944981098,-114.8907623,5.308905125,4.106140614,26.18613625
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.949980974,-114.9174118,5.329734802,4.165915489,25.22858238
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.95498091,-114.9441605,5.350194931,4.091996193,24.74613762
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.959980786,-114.9710083,5.370023251,3.965731859,24.56363869
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.964980721,-114.9979553,5.38932991,3.861337423,24.51329231
